Yvelise,
Jean-Noel le GOAT,
Christophe Lemanteau,
Cecile Prime,
Rachel Bouillon,
Marga Rita,
Margot Faste,
Jeremy Moncask,
Oussama Lairbon,
Gerard Menfaim,
Dorian Namarre,
Germain Tenant,
Germain Baladeuse,
Humphrey Bienfufe,
Abdou Ceur,
Abou Denere,
Donatien Maqueu,
Leon Dimerciki,
Ernest Imassion,
Guy Teub,
Thea Lamente,
Theo Sitron,
Jemal Ofesse,
Eddie Theur,
Marco Veed,
Rico Necter,
Rico Nekssion,
Thomas Stiker,
Thomas Stico,
Enrico Ditoire,
Enrico Dition,
Roger Pavus,
Esteban Least,
Roland Foiret,
Roland Cule,
Jerry Corde,
Eric Crac,
Gerard Menvussa,
Sammy Jotte,
Mike Litorisse,
Vincent Timetre,
Jean Suipala,
Medhi Keat,
Alain Terrieur,
Alex Terrieur,
Jean Peuplus,
Jean Culetout,
Boubakar Tilage,
Erwan Toutrie,
Harry Covert,
Sasha Touille,
Jean Eralcu,
Alexis Lophone,
Herve Terrinaire,
Jonathan Tacule,
Leonard Loutre,
Felix Furet,
Camille Caméléon,
Hugo Hibou,
Paul Panda,
Sophie Souris,
Victor Vautour,
Clara Chinchilla,
Max Mouette,
Emma Écureuil,
Oscar Ours,
Nina Narval,
Lucas Lama,
Alice Alpaga,
Thomas Tigre,
Julie Jaguar,
Martin Moustique,
Laura Lémurien,
Kevin Koala,
Sarah Serpent,
Antoine Antilope,
Chloe Chien,
Damien Dauphin,
Elise Élan,
Florian Flamant,
Gabrielle Gorille,
Henri Hérisson,
Isabelle Iguane,
Jacques Jaguarundi,
Karine Kangourou,
Louis Lynx,
Marie Manchot,
Nicolas Narval,
Olivier Ocelot,
Pauline Pélican,
Quentin Quokka,
Rachel Raton,
Samuel Sanglier,
Thérèse Tortue,
Ulysse Urubu,
Valérie Vison,
William Wallaby,
Xavier Xérus,
Yasmine Yack,
Zacharie Zèbre,
Amandine Araignée,
Bastien Bison,
Célia Cygne,
Didier Dingo,
Élodie Écureuil,
Fabrice Faucon,
Gustave Fiotte,
Raymond Culet,
Ginette Rupteur,
Alphonse Taire,
Simon Prudent,
Luc Tose,
Jules Pue,
René Gats,
Yves Raie,
Jean-Bon Lavé,
Marc Haché,
Aude Imodée,
Claire Chenet,
Anne Térieur,
Ali Gator,
Moïse Uneclope,
Benoît Dunet,
Colin Maillard,
Rodolphe Ecteur,
Pam Elle,
Omar Taine,
Pat Tissier,
Teddy Bonhomme,
Serge Acuse,
Rosa Lée,
Pierre Alac,
Axel Erateur,
Nina Ricane,
Kévin Zidéré,
Emma Ncipale,
Oscar Bide,
Cyril Laquais,
Dan Té,
Gérard Mande,
Ali Mentation,
Mélanie Téral,
Manu Tention,
Tanguy Tude,
Bruno Decastor,
Gilles Grammaire,
Max Hilaire,
Léa Bitude,
Eddy Fis,
Victor Rieux,
Alex Térieur,
Sébastien Nébule,
Léo Parleur,
Noémie Graine,
Justin Bridou,
Mireille Térieur,
Rémi Nécent,
Clara Voyance,
Jacques Potence,
Bobby Lave,
Nadine Dérape,
Kevin Pulsion,
Sandy Préhensible,
Stéphane Démange,
Omar Ginal,
Salim Bouffetou,
Claire Mouille,
Édouard Tue-L'amour,
Alix Thériorisée,
Ginette Psie,
Pascal Lopsychose,
Victor Hémorroïde,
Coco Laine,
Brigitte Rade,
Jean-Mi Lépile,
Yves Démange,
Théo Riot,
Marion Net,
Gilles Saucisse,
Tony Truand,
Sophie Ligrane,
Lola Bido,
Robert Cuisse,
Gaspard Lecrado,
Bertrand Chialle,
Denis Colique,
Léna Téral,
Jean-Fion,
Luc Arme,
Kevin Détritus,
Lola Blème,
Rachid Bang,
Céline Lépar,
Karim Mousse,
Valérie Nalgie,
Roger Nifle,
Isidore Ducon,
Patrick Suc,
Sarah Tonine,
Nico Tine,
Régis Milla,
Manu Lation,
Béatrice Étron,
Gilbert Bonnecrotte,
Fred Errance,
Jessica Taclysme,
Rémy Delir,
Paulette Fracasse,
Laurent Dégueulis,
Bazouz le Hardi,
Mwilambwe le Lucide,
Grolmok l’Indécis,
Néphélococcyge la Sans-Relâche,
Karflon l’Astringent,
Bouduchon le Fumant,
Xamthrop l’Inexplicable,
Brubru le Millefeuille,
Euthaquon le Sifflant,
Tragonz le Dérangé,
Sifridon le Moite,
Quelmik la Perspicace,
Maloubac le Flegmatique,
Uzorion le Clignotant,
Zéboulor le Dévissé,
Krizom la Croquante,
Tharamul le Soupir,
Bolchoum le Gênant,
Elouria l’Éparpillée,
Fandrinax le Qui-Pète,
Douarn le Silencieux-mais-bizarre,
Bledox l’Inodore,
Marnouf le Toujours-Trop,
Skritche le Rassuré,
Plonklin la Spirale,
Harvounet le Demi-Sec,
Vlarboz l’Attachiant,
Oudlouf le Reclus-qui-voulait-pas,
Nandour le Failli,
Krodaz la Tempérance,
Zinzibar le Croutonnier,
Maxilion le Presque,
Chlorgane la Rutilante,
Felcrad le Toutmou,
Yavounet l’Exagéré,
Tépégouz le Bruiteur,
Oustrid le Lentement Rapide,
Bévacine la Quasi-Reine,
Morblax le Ronge-Terre,
Quriam la Tronquée,
Vinzoul le Qui-Sait-Pas,
Ultemar le Galopin Solennel,
Palzane l’Injustifiée,
Drouzob l’Aveugle des Coudes,
Kirembal l’Oracle à Mèches,
Froumine la Tournoyante,
Plibz le Moindre,
Atroun le Maladroit-avec-panache,
Ygnoul la Rebondie,
Tréblard le Ronge-Minuit,
Grubus le Quifrotte,
Mwip le Vaguement,
Sirdoux la Tremblote,
Flamoul le Pas-Connu,
Blore le D’un-Autre-Temps-Mais-Pas-Clair,
Harnack le Tout-En-Dedans,
Volnouille la Qui-Regarde-Comme-Ça,
Pibou le Mouillé,
Narnocle le Chiffonné,
Brinzor le Qui-Fuit,
Toukoulf la Pleine-de-Brume,
Jelnot le Pas-Méchant-Juste-Bizarre,
Kromouze le Ferme-à-Clef,
Zaloche la Qui-Sent-Loin,
Vourp le Discret-Sauf-quand-il-Parle,
Estragon la Revanche,
Mouginet le Frétilleur,
Dalzouk l’Entre-Deux-Murs,
Quatch le Soupirant,
Bléphard le Coincé-du-Bocal,
Nébion le Moins-Dit,
Frotille la Piquante-pas-épicée,
Gharmet le Rond-mais-Coincé,
Lusk le Même-Pas-Pour-Rire,
Mirzouille la Fourbette,
Oustral le Faux-Calme,
Blaflu le En-Dessous,
Hournac le Pas-tout-à-fait-lui,
Ciprelle la Toujours-là,
Blantrou le Qui-Vibre,
Doulisse la Couteuse,
Jibé le Sans-Hourra,
Krimouze la Miteuse Élue,
Talgra le Coincoin,
Wibla la Bégaillante,
Nemzok le Retourné (de l'intérieur),
Frémoule le Déçu-d’Avance,
Zinch le Flou,
Pablourde la Marmotte Creuse,
Zoubinou le Résigné,
Raglou le Sans-Chaussure-Pourtant-Riche,
Naboudé le Clair-en-Soi,
Grolide la Roulante,
Istourf le Siffle-Vide,
Télouze la Pâle-Tentation,
Bibord le Malconfort,
Ninflette la Tactile,
Garbinet le Névralgique,
Moumoule le Fuyant-Par-Politesse,
Clarphe la Secrète-mais-Bof
